sep=,
"Item","Paraphrasen","Anzahl Paraphrasen"
"Wir brauchen eine Vollakademisierung der Pflege.","Akad1 Akad13 Akad19 Akad22 Akad43 Akad20 Akad58",7
"Mit der Akademisierung ändert man gar nichts.","Akad2 Akad3",2
"Das Problem der Pflege ist nicht die ""Nichtakademisierung"".","Akad4",1
"Wenn man studieren will, dann lieber gleich Medizin.","Akad5",1
"Die Akademisierung hat Einfluss auf die Bezahlung.","Akad6 Akad7 Akad9",3
"Gewerkschaften hetzen gegen Akademisierung und sind nicht für unsere Profession da.","Akad8 Pfle263 Pfle224 Pfle246",4
"Substituierte neue Kompetenzen nur für akademische Pflegefachpersonen würden der Akademisierung sehr helfen.","Akad10",1
"Wir brauchen akademisch ausgebildete Pflegefachpersonen, um die Pflegetheorien in der Praxis anzuwenden.","Akad12",1
"Wer eine Akademisierung der Pflege anstrebt sollte sich auch Gedanken darüber machen, wie bereits examinierte Kolleg*innen einen akademischen Abschluss nachholen können.","Akad14",1
"Ich bin davon überzeugt, dass Pflege durch Akademisierung eine bessere Versorgungsqualität erlangt.","Akad24 Akad15 Akad21 Akad96 Akad26 Akad33 Akad80 Akad97 Akad95 Akad94 Akad46 Akad59 Akad78 Akad84 Akad83",15
"Die Akademisierung ist die Zukunft in unserem Beruf.","Akad17 Akad38 Akad51",3
"Akademisierung macht die Pflegeberufe attraktiver.","Akad18 Akad81 Akad82",3
"Ich bin ein Hardliner, was die Akademisierung der Pflege angeht.","Akad23",1
"Ich bin davon überzeugt, dass Pflege durch Akademisierung mehr Selbstbewusstsein erlangt.","Akad25",1
"Die Akademisierung der Pflege ist wichtig für uns alle!","Akad27",1
"Das Wettern gegen die Berufsausbildung, also gegen den nicht-akademischen Berufsabschluss ist voll daneben","Akad28",1
"Die Pflegeausbildung soll beibehalten werden – studieren nur auf freiwilliger Basis.","Akad29",1
"Die Qualität der Pflege am Bett wird durch eine Akademisierung nicht besser.","Akad30",1
"Eine Akademisierung der Pflege reicht nicht – es muss mehr Kohle geben!","Akad31",1
"Ich bin für eine Teilakademisierung von 20 % der Pflege, wie sie vom Wissenschaftsrat seit 2012 gefordert wird.","Akad34 Akad55",2
"Erfahrung ersetzt keine Ausbildung, die auf wissenschaftlichen Erkenntnissen basierte.","Akad35",1
"Komplexe Versorgungsbedarfe erfordern hochschulisch qualifizierte Pflege.","Akad36 Akad41 Akad69 Akad93",4
"In einer Ausbildung lernt man Anweisungen zu befolgen und verlernt die kritische Reflexion. Wir brauchen aber wissenschaftliches Arbeiten und fundierte Kritik in der Pflege.","Akad37",1
"Akademische Qualifizierungswege in der Pflege leisten einen wichtigen Beitrag zum Erhalt und zur Förderung des Potenzials professioneller Pflege in Deutschland.","Akad39",1
"Ein Masterabschluss in Pflegemanagement ist für höhere Leitungsfunktionen dringend erforderlich.","Akad44",1
"Ein Ausbau der Pflegestudiengänge ist dringend erforderlich.","Akad45 Akad52",2
"Eine zwölfjährige Allgemeinbildung oder eine vergleichbare Vorbildung soll die Zugangsvorraussetzung für die Pflege sein.","Akad47 Akad175",2
"Eine gute Pflegefachperson braucht Sozialkompetenz und keine zwölf Jahre Allgemeinbildung.","Akad48",1
"Eine Anhebung der Zugangssvorrausetzungen würde die Fachkräftemangel verstärken.","Akad50",1
"Die Entwicklung von Masterstudiengängen im Bereich der klinischen Pflege ist zu befürworten.","Akad53",1
"Der etabliert deutsche Sonderweg in der Ausbildung von Pflegefachpersonen kommt an seine Grenzen.","Akad54",1
"Die Stärke der Pflege – mit hoher Fachlichkeit am Patient*innen die Pflege zu planen und selbst durchzführen – wird durch Einführung von neuer akademischen Rollen in der Praxis gefährdet.","Akad56",1
"Die fachschulicshe dreijährige Pflegeausbildung sollte langfristig zugunsten einer hochschulischen Pflegebildung abgelöst werden.","Akad60",1
"In der direkten Klientenversordung in allen Versorgungsbereichen werden dringend hochschulisch qualifizierte Pflegefachpersonen benötigt.","Akad61 Akad57 Akad65",3
"Eine Ausdifferenzierung von Qualifikationsebenen innerhalb der Pflege ist notwendig.","Akad62",1
"Es ist eine Vergeudung pflegerischer Kompetenz und eine Geringschätzung der Profession Pflege, hochqualifizierte Pflegeexpert*innen zu Artzassistent*innen umzuqualifizieren.","Akad66",1
"Die primärqualifizierende hochschulische Pflegeausbildung ist eine langfristig nachhaltige Ergänzung zur Bekämpfung des Fachkräftemangels in der Pflege.","Akad70",1
"Die Entscheidung für eine primärqualifizierende hochschulische Pflegeausbildung bedeutet, dass man mit Patienten und Pflegebedürftigen klinisch tätig sein will.","Akad71",1
"Die Weiterbildung zur Hygienefachperson muss akademisiert werden.","Akad73",1
"Die aktuellen Fachweiterbildungen sind ein Auslaufmodell: es werden neue Wege für Spezialisierung benötigt, die zumindest zum Teil als Master-Studium erfolgen sollen.","Akad74",1
"Ein Masterstudium sollte die Voraussetzung für Schulgesundheitspflege sein.","Akad75",1
"Die Eigenständigkeit der Pflege muss gestärkt werden, indem erweiterte pflegerische Rollen (""Advanced Nursing Practice"") entwickelt werden.","Akad76",1
"Die Professionalisierung von Strukturen, Prozessen und Management-Skillss in der Pflege ist unabdingbar.","Akad77",1
"Akademisch qualifizierte Pflegefachpersonen sollen in der direkten Patientenversorgung integriert werden, damit die Fachkompetenz ans Bett gelangt.","Akad79 Akad40",2
"Es ist unsere Pflicht nach neusten wissenschaftlichen Erkenntnissen zu pflegen.","Akad85 Akad92 Akad11",3
"Pflege ist eine wissenschaftliche Profession.","Akad86 Akad87 Prof380 Prof376",4
"Pflege ist keine Berufung – sie ist eine hochqualifizierte, wissenschaftsbasierte, interaktive und kommunikative Arbeit.","Akad49 Akad88 Prof370 Prof375",4
"Die Pflege wird ihre Forderungen nur durchsetzen können, wenn sie auch einen fachlichen, nachweisbaren Beitrag leiset: dafür braucht man pflegewissenschaftliches Wissen.","Akad89 Akad91",2
"Pflegen kann jeder.","Anse100",1
"Pflege braucht nicht nur Applaus, sondern eine fachliche Auswertung der Profession.","Anse101",1
"Pflegende sind Expert*innen für die Zukunft des Gesundheitssystems!","Anse103",1
"Die Pflege wird hinsichtlich ihrer Kompetenzen gesellschaftlich unterbewertet.","Anse106 Anse102 Anse105",3
"Wer die Pflege darauf reduziert, ein großes Herz würde es schon tun, missachtet die Realität und schadet dem Pflegeberuf.","Anse107",1
"Das Glas ist nich halb leer, sondern halb voll und wird sich mit einer Aufwertung der Pflege hinsichtlich der Aufgaben, Anforderungen und Verantwortung und des gesellscahftlichen Status weiter füllen.","Anse108",1
"Die Pflege ist für die Gesellschaft wichtiger Beruf und verdient Anerkennung und Respekt.","Anse110",1
"Mit der Rolle von professionell Pflegenden steht und fällt die Leistungsfähigkeit eines Gesundheitssystems.","Anse113",1
"Die Akademisierung wird das soziale Ansehen der Pflege verbessern.","Anse115 Anse116 Anse117 Anse118",4
"Die Pflegekammer steigert weder die Attraktivität noch das Ansehen des Berufes.","Anse119",1
"Pflege braucht keine Kammer, die noch aus eigener Tasche bezahlt werden soll, sondern mehr Anerkennung, bessere Vergütung und Arbeitsbedingungen – also insgesamt mehr Attraktivität!","Anse120 Pfle345",2
"Diesem Land muss endlich mal klar werden, was ihnen professionelle Pflege wert ist","Anse121",1
"Heilkundliche Aufgaben, wie Wundversorgung, sollen Pflegefachpersonen eigenverantwortlich übernehmen dürfen.","Aufg123 Aufg124 Aufg125 Aufg126 Aufg135",5
"Pflege ist keine Hilfsprofession der Medizin.","Aufg128 Aufg129 Aufg130 Prof390",4
"Die vorhandene Kompetenz der Pflegefachpersonen muss stärker anerkannt und eingesetzt werden.","Aufg132",1
"Es muss offen über Aufgabenverteilung im Gesundheitswesen diskutiert werden.","Aufg133 Aufg127",2
"Nur durch eine Neuordnung der Zuständigkeiten für heilkundliche Aufgaben kann das volle Potential pflegerischer Kompetenzen nutzbar gemacht werden.","Aufg134 Aufg137",2
"Die Bewertung, Planung, Evaluation und Pflegebeurteilung können nicht delegiert werden.","Aufg139 aufg138",2
"Es macht einen Unterschied, ob wir von der ""Schwester Anna"" oder von ""Pflegefachfrau Anna Müller"" reden.","Fach141 Fach147 Fach 148 Fach144 Fach143 Fach148 Fach149 Fach142",9
"Ich finde es okay, wenn Kolleginnen als ""Schwester"" angesprochen werden wollen.","Fach145",1
"Der Weg, als Profession wahrgenommen zu werden, beginnt mit einer respektvollen und wertschätzenden Sprache.","Fach146",1
"Die freiberufliche Berufsausübung ist ein Grundrecht von Pflegefachpersonen.","Frei150 Frei152 Frei151",3
"Pflege erfüllt in der Verbindung von Forschen und tätiger Umsetzung der daraus gewonnenen Erkenntnisse in der direkten Beziehung zu einem Klienten ein wesentliches Merkmal freiberuflichen Tätigseins.","Frei153",1
"Die generalistische Ausbildung wird für mehr Zusammenarbeit sorgen.","Gene154",1
"Mit der Abschaffung der Ausbildung zum/r Altenpfleger*in wurde ein weitere Schritt hin zur Deprofessionalisierung in der Altenpflege getan.","Gene155",1
"Die Generalistik schadet mehr als sie professionalisiert.","Gene156 Gene167 Prof392 Prof393",4
"Die Altenpflege kann nur in einer dreijährigen spezialisierten Ausbildung gelernt werden.","Gene158",1
"Anstatt der Generalistik müssen die drei Pflegeberufe sich gegenseitig anerkennen, weiterentwickeln und interdisziplinär zusammenarbeiten.","Gene159",1
"Die generalistiche Pflegeausbildung führt zu Defiziten in der praktischen und theoretischen Ausbildung.","Gene162",1
"Die generalistische Ausbildung wird zur Rückgänge bei Ausbildungsplätzen und Bewerberzahlen führen.","Gene165 Gene163 Gene168 Gene161 Gene160 Gene170 Gene171",7
"Der autonome Handlungsspielraum der Altenpflege wird durch den Verlust altenpflegerischer Kompetenzen in der generalistischen Ausbildung leiden.","Gene166 Gene164",2
"Kinder und hochbetagte Menschen werden unter der generalistischen Ausbildung leiden.","Gene172 Gene169",2
"Die generalistische Ausbildung sichert einen hohen Versorgungsstandard","Gene173",1
"Die generalistische Pflegeausbildung bietet den Pflegefachpersonen zusätzliche Qualifizierungs- und Karrieremöglichkeiten.","Gene174",1
"Ich halte es für erforderlich eine klare Trennung familiärer Fürsorge und professioneller Pflege zu ziehen.","Mono176",1
"Was zur guten Pflege gehört weiß die professionelle Pflege am besten selbst.","Mono177",1
"Qualitativ angemessene Pflege kann nur durch qualifiziertes Personal gewährleistet werden.","Mono178",1
"Den Tendenzen, gering oder anders qualifiziertes Personal für pflegerische Aufgaben einzusetzen, muss gegengesteuert werden.","Mono179",1
"Eine Pflegekammer ist richtig und wichtig.","Pfle181",1
"Die Pflegekammer ist nicht der Messias der Pflege.","Pfle182",1
"Die Kammergegner halten die die Entwicklung der Pflege auf.","Pfle184 Pfle190",2
"Wir können nicht auf die Politik hoffen, sondern müssen uns durch Selbsverwaltung (Pflegekammer) selbst aus dem Sumpf heraus ziehen.","Pfle186",1
"Die Diskussion um die Pflegekammer lenkt uns nur von den relevanten Dingen ab.","Pfle187",1
"Wir brauchen eine Stimme der Pflegenden.","Pfle197 Pfle225",2
"Prinzipiell ist der Zusammenschluß der Pflege in einer Kammer aus meiner Sicht der einzige Weg, die Situation der Pflege langfristig zu verbessern.","Pfle199",1
"Die Mitgliedschaft in einer Pflegekammer muss verpflichtend sein.","Pfle200 Pfle223 Pfle245",3
"Die Pflege muss sich selbst organisieren, um der Gesellschaft zu zeigen, was sie wert ist.","Pfle201 Anse104 Pfle191 Pfle221 Pfle226 Pfle258 Pfle260 Pfle265 Pfle266 Poli360 Poli361 Poli362 Pfle248 Pfle205",14
"Wir brauchen Gewerkschaften, Berufsverbände und Kammern – zusammen und solidarisch statt gegeneinander!","Pfle202 Pfle180 Pfle234 Pfle262 Pfle340 Pfle257 Pfle192",7
"Ich möchte eine starke Bundespflegekammer.","Pfle204 Pfle255 Pfle358 Pfle341",4
"Ich habe überhaupts nicht gegen eine Kammer, nur gegen eine Pflichtmitgliedschaft.","Pfle209 Pfle286",2
"Ich bin nicht gegen eine solidarische und demokratische Interessenvertretung, jedoch wird eine Pflegekammer die Wünsche und Träume nicht erfüllen können.","Pfle210",1
"Die Pflegekammer ist keine reale Interessenvertretung der Pflegenden.","Pfle212 Pfle274 Pfle275 Pfle278 Pfle292 Pfle343 Pfle217 Pfle215 Pfle236",9
"Das ist leider das Grundproblem der Pflege: nur Rumgehacke und Gemecker.","Pfle219",1
"Die Pflegekammer ist nicht das Fundament für alle Verbesserungen in der Pflege, aber der zentrale Baustein für die pflegerische Professionalisierung.","Pfle220 Pfle227",2
"Eine Gewerkschaft verhandelt halt meinen Tarifvertrag, daher sind sie die Wichtigsten.","Pfle222 Pfle268",2
"Mit Abschaffung der bereits gegründeten Pflegekammern wird es gewiss nicht besser, sondern noch schlimmer.","Pfle228 Pfle229 Pfle230",3
"Eine Pflegendenvereinigung auf Basis freiwilliger Mitgliedschaft kann das gleiche schaffen wie eine Kammer mit Zwangsmitgliedschaft.","Pfle231",1
"Kein Verein, Verband und keine Gewerkschaft kann eine Pflegekammer 	
ersetzen.","Pfle235",1
"Ich kann es nicht verstehen, wieso Teile unserer eigenen Professoin gegen Professionalisierung agiert.","Pfle240",1
"Wenn es keine Pflegekammer geben sollte, sehe ich uns noch die nächsten 50 Jahre diskutieren und Merci schnabulieren.","Pfle243 Pfle216",2
"Eine Kammer gehört zu einem etablierten Beruf dazu.","Pfle254",1
"Ich wünsche mir, dass wir Zeit und Personal haben, um eine qualitativ hochwertige und evidenzbasierte Pflege durchzuführen und erst danach professionsfremde Tätigkeiten übernehmen.","Pfle269",1
"Sicherstellung einer sachgerechten professionellen Pflege ist Aufgabe des Staates, nicht einer Pflegekammer.","Pfle287",1
"Die Pflegekammer wird durch die Fortbildungspflicht den Druck auf die Pflegenden erhöhen, statt sie zu entlasten.","Pfle291 Pfle328",2
"Durch die Pflgekammer kommer nur Kosten auf mich zu.","Pfle322 Pfle334",2
"Ich will mich nicht überrumpelt werden, da ich das Thema Pflegekammer gar nicht kenne.","Pfle323",1
"Die Zwangsmitgliedschaft in einer Pflegekammer ist absolut gegen meine demokratische Wertevorstellung.","Pfle325 Pfle329 Pfle276",3
"Die Pflegekammer will nur mein Geld und tut nichts für mich.","Pfle332",1
"Es gibt keine Alternative zur Pflegekammer.","Pfle354",1
"Ich wünsche mir mehr Solidarität für eine bessere Zukunft der Pflege.","Poli363",1
"Problem ist ja, dass die Bevölkerung in Deutschland nicht mal weiß was der Unterschied zwischen professioneller Pflege und Laienpflege ist.","Prof366 Prof365 Prof367",3
