sep=,
"","TwitterID"
"1","1244568249381146625"
"2","1245740594850344960"
"3","1245783132097388544"
"4","1245709314981089280"
"5","1245779122741227526"
"6","1245747543079899136"
"7","1245766549119602688"
"8","1245731203728265216"
"9","1245712027173228551"
"10","1245584353742053378"
"11","1246041934675705862"
"12","1246346165504835584"
"13","1247464495234121728"
"14","1247467547001262080"
"15","1247770211719065606"
"16","1249656574219608064"
"17","1249807089758855168"
"18","1250338682172624897"
"19","1251244856669855754"
"20","1251650672245817344"
"21","1251804091212353537"
"22","1252598972092473346"
"23","1252928110649135104"
"24","1252927319636946945"
"25","1252922287478767616"
"26","1253450041773211653"
"27","1253278860621250562"
"28","1253220963967283200"
"29","1253577491534557185"
"30","1255844028828049408"
"31","1256520310729383937"
"32","1256861636125736961"
"33","1256890783321464835"
"34","1258335263161552902"
"35","1259032725744431104"
"36","1260105826137710595"
"37","1260275557989842950"
"38","1260231348377341954"
"39","1260194345141051392"
"40","1260091537930813440"
"41","1260471510336180224"
"42","1260824560687030272"
"43","1261597236879900672"
"44","1264912798099951617"
"45","1264958223607566338"
"46","1265756536669863939"
"47","1265702617415667713"
"48","1265606844996816896"
"49","1266820449876480001"
"50","1266819670562222088"
"51","1267570190079926272"
"52","1268494312863600640"
"53","1268869907451727877"
"54","1269733469044817921"
"55","1269686280591421440"
"56","1269507277645627393"
"57","1269921497151410178"
"58","1270407906647781377"
"59","1271362891011305472"
"60","1272604347831070720"
"61","1272853181437968385"
"62","1272786479354458115"
"63","1274050839246757889"
"64","1274379457999056899"
"65","1274321112885796864"
"66","1274291501196021760"
"67","1274252225674698754"
"68","1274252166056869888"
"69","1274214810335490049"
"70","1274595569797824513"
"71","1274600926284824578"
"72","1274620111530479617"
"73","1274610957977780225"
"74","1275210524771450881"
"75","1275209909047627776"
"76","1275453674563661824"
"77","1275802093618683906"
"78","1261716921067675654"
"79","1261548612770766848"
"80","1261870657354244097"
"81","1261952752642600960"
"82","1262039833595334656"
"83","1262017396992245761"
"84","1262011228345511941"
"85","1262002413864714241"
"86","1261934304550178816"
"87","1261915338230452224"
"88","1261895733910867975"
"89","1261964820666073090"
"90","1261913260921622528"
"91","1261889605802041344"
"92","1262456478067298306"
"93","1262466812257730560"
"94","1262730243498029056"
"95","1262784221569060864"
"96","1262705960856047616"
"97","1262586314605633539"
"98","1263115337396113409"
"99","1263423394885906433"
"100","1263918750123921408"
"101","1265029205764513792"
"102","1264963997188710401"
"103","1264828563527815168"
"104","1264964717333839872"
"105","1264959262872272896"
"106","1264963621110665217"
"107","1264960918301151232"
"108","1264959981943771139"
"109","1265180942236254208"
"110","1265711055348654083"
"111","1265519800782110721"
"112","1265559076462878723"
"113","1266246733899509760"
"114","1266673765951438848"
"115","1266642467509678080"
"116","1266627593987592192"
"117","1267061069647958018"
"118","1267052219989401601"
"119","1267062231642112001"
"120","1266994129923342337"
"121","1271423818985361408"
"122","1271437388741595137"
"123","1271472188072345602"
"124","1271386833532997633"
"125","1271404658242748418"
"126","1271430300384493570"
"127","1271428484947206147"
"128","1271422981735157763"
"129","1271910552969904130"
"130","1271813474964946944"
"131","1271697990881771522"
"132","1272265092734820353"
"133","1272508842409107459"
"134","1272920997356806144"
"135","1272858345859416064"
"136","1273122001125879809"
"137","1273156067636187142"
"138","1273132987924860928"
"139","1273130528854757376"
"140","1273131535366008832"
"141","1273148057065062401"
"142","1273155428617158658"
"143","1273623512696193025"
"144","1273538905430806530"
"145","1273597652647763968"
"146","1273561367870660608"
"147","1273949281058258946"
"148","1274021732953841669"
"149","1273975752048902144"
"150","1273947602908831745"
"151","1274047904815218688"
"152","1273978034056462337"
"153","1273913557026058240"
"154","1273948981488422912"
"155","1273980734945013760"
"156","1274051614677053440"
"157","1273945945189818369"
"158","1273974355442176000"
"159","1273942754918359040"
"160","1273965244952518657"
"161","1274011020034560000"
"162","1273957286478823424"
"163","1274020575065845760"
"164","1273956442916167680"
"165","1273969339952181248"
"166","1274023870362791937"
"167","1274032468090400768"
"168","1273969034451734530"
"169","1273985283852206080"
"170","1274013358228979714"
"171","1273971424185716743"
"172","1273973480996945923"
"173","1274025471840264193"
"174","1273973090620518400"
"175","1273966350101295107"
"176","1273876335916613635"
"177","1273883593031520256"
"178","1273906271822008321"
"179","1273901008188563464"
"180","1274233525445758977"
"181","1274823995821568006"
"182","1275010735366684673"
"183","1274958386988306434"
"184","1274943124754874368"
"185","1275462231153573888"
"186","1275462834210643969"
"187","1275778578169450496"
"188","1275677314546835456"
"189","1267457356507553792"
"190","1267952322971394048"
"191","1267839808845553664"
"192","1267769641117646848"
"193","1267731811565817856"
"194","1267713033440296960"
"195","1267691878683676673"
"196","1267668260109115394"
"197","1268089364996861952"
"198","1268199902871502848"
"199","1268182181186359304"
"200","1268118720477573120"
"201","1268129476354940928"
"202","1268210202022686720"
"203","1268155505291202561"
"204","1268167022124453889"
"205","1268048516686860289"
"206","1268090860232720386"
"207","1268070190673211392"
"208","1268650004798943232"
"209","1268427379371892745"
"210","1268636941186146305"
"211","1268424989855879169"
"212","1268426406427533313"
"213","1268421542431645696"
"214","1268415130305429506"
"215","1268448087070121985"
"216","1268986346275831810"
"217","1268951206325559296"
"218","1268926182176763907"
"219","1268856516242821121"
"220","1268852386363211778"
"221","1268817662093791233"
"222","1269367557888315399"
"223","1269155247286599680"
"224","1269142834273234945"
"225","1269365587463081985"
"226","1269364081477201932"
"227","1269353719323336709"
"228","1269361195145998342"
"229","1269346816744738816"
"230","1269341359393198080"
"231","1269287597588840448"
"232","1269309875361845248"
"233","1269145076514652161"
"234","1269150146505453568"
"235","1269150558583209987"
"236","1269158210398752768"
"237","1269183768427978753"
"238","1269198060913070080"
"239","1269223884160749571"
"240","1269140979149418496"
"241","1269771616277467140"
"242","1269712019684503553"
"243","1269560297968340994"
"244","1269629362749480960"
"245","1269651647921369089"
"246","1269977727496577026"
"247","1269953528828657664"
"248","1270385621840822273"
"249","1270327235728334849"
"250","1270372320557883393"
"251","1270699283168272384"
"252","1256142954017837058"
"253","1256856164597448705"
"254","1256850161818624002"
